agent,seed,n,message,decoded message,score
7,591469,60,AWM 217C 09172025,PARTIAL: ,0.0
7,591469,60,LAA 8CJ4 03212024,OBE 9UFI 09162023,0
7,591469,60,COF FOAK 03202025,PARTIAL: ,0.0
7,591469,60,TUP CX4F 11042024,TUP C9JP 02232025,0
7,591469,60,ELI UMYQ 12132023,PARTIAL: ,0.0
7,591469,60,WKK 8P7Y 11242024,PARTIAL: ,0.0
7,591469,60,CKR QDPQ 04162025,PARTIAL: ,0.0
7,591469,60,SEP M3PZ 11042025,SGR TJLA 08192025,0
7,591469,60,SVC NV17 07202024,PARTIAL: ,0.0
7,591469,60,DYS 88JH 02262023,PARTIAL: ,0.0
7,591469,60,PIA 5W8W 10232025,TCM FAQB 04222025,0
7,591469,60,SVC 89JI 08092024,PARTIAL: ,0.0
7,591469,60,BTP A9OC 10102023,PARTIAL: ,0.0
7,591469,60,LTW 5WOC 10252025,PARTIAL: ,0.0
7,591469,60,TOR 1LOX 08052024,PARTIAL: ,0.0
7,591469,60,AMK W7EZ 06272025,PARTIAL: ,0.0
7,591469,60,ATL X45L 08072023,JFK NX5K 03112024,0
7,591469,60,LLY H4JJ 05112025,WDN BLE5 02052024,0
7,591469,60,RDV RC2Z 11192024,PARTIAL: ,0.0
7,591469,60,GTF JDFE 05282024,SPZ JCOM 11192024,0
7,591469,60,CTK QLRL 07262025,PARTIAL: ,0.0
7,591469,60,BED CX1C 07112024,CEW ID8M 07052023,0
7,591469,60,AAF 95AE 05202024,PARTIAL: ,0.0
7,591469,60,FLP APEN 07102025,PARTIAL: ,0.0
7,591469,60,AKK TE94 11182024,PARTIAL: ,0.0
7,591469,60,MHL A9AA 02062023,PARTIAL: ,0.0
7,591469,60,DSI 5AKN 01042025,ACV VJDL 11072025,0
7,591469,60,ATT 1T6C 07202025,PARTIAL: ,0.0
7,591469,60,FLD SCKY 05042025,DSM IH5B 01182025,0
7,591469,60,BGR 97OQ 05052023,GUC QB5G 06012025,0
7,591469,60,PAM 22GX 06102023,PARTIAL: ,0.0
7,591469,60,RBF 4DKS 10162024,SBS 3A33 01042024,0
7,591469,60,MIV 9I1X 09152023,CCB FGGY 05172024,0
7,591469,60,FEP XTR6 06182024,PARTIAL: ,0.0
7,591469,60,BGR 3FPA 02202024,DVN K3TL 07192024,0
7,591469,60,SMF NIW1 08102024,PTK FPH0 06232023,0
7,591469,60,CIK RKVS 03282024,PARTIAL: ,0.0
7,591469,60,GLE 5JLC 05282024,FHU W9EF 08102023,0
7,591469,60,LIV LZ9B 01242024,PARTIAL: ,0.0
7,591469,60,TNK IVU9 12202023,PARTIAL: ,0.0
7,591469,60,TTD GFEH 04072025,LAL S0L7 11022024,0
7,591469,60,RNZ 2KW4 08162024,PARTIAL: ,0.0
7,591469,60,MGY I3NF 10122024,PARTIAL: ,0.0
7,591469,60,HUF GITR 07222025,SCK 9W0M 06072025,0
7,591469,60,MGM RYQE 04082024,WWD NO14 09182024,0
7,591469,60,MHR 1Q2Z 07052023,APV H246 09032023,0
7,591469,60,MVM VWVY 12172023,PARTIAL: ,0.0
7,591469,60,FBR T509 08072024,HAY WSS8 11042023,0
7,591469,60,WTR 008Z 12182025,PARTIAL: ,0.0
7,591469,60,MDD UIQR 12162025,GVT C4WD 06112024,0
7,591469,60,TRM RCI6 10232025,IRK TCPD 03052024,0
7,591469,60,CDV SRLM 04232024,PARTIAL: ,0.0
7,591469,60,ELI MQZD 06242023,PARTIAL: ,0.0
7,591469,60,BAM X43A 01192023,BAM X44A 09112023,0
7,591469,60,EGV OOP3 04222025,CYT WOHR 06152023,0
7,591469,60,AXB KKEL 05172024,MXC K9V0 12182025,0
7,591469,60,APG 8N3V 07252024,CEA UNN6 01142024,0
7,591469,60,SPS JDIR 09072025,STP 10Y3 06092024,0
7,591469,60,GMT 4MCS 05162023,PARTIAL: ,0.0
7,591469,60,JNU 7KU6 04222023,SSF FX6T 03222025,0
7,591469,60,GLR GFSO 01252023,PARTIAL: ,0.0
7,591469,60,FLO USVF 10212024,SIT Q2CO 08252023,0
7,591469,60,WAY QIRN 05062023,PARTIAL: ,0.0
7,591469,60,DUA 7UW5 01082025,LCH PQ1Q 07222024,0
7,591469,60,NQI 9U4K 03232025,PARTIAL: ,0.0
7,591469,60,BDG KOD5 03052023,PARTIAL: ,0.0
7,591469,60,CCB GIYA 09182024,LMT 63Y6 04052025,0
7,591469,60,PLR RHX6 12242023,PARTIAL: ,0.0
7,591469,60,KCR OY9T 02192025,PARTIAL: ,0.0
7,591469,60,ARV VUMO 12052024,GAG HQ0I 04092024,0
7,591469,60,GTF SPCY 01192025,DBQ 6B24 08182024,0
7,591469,60,WMO DJNS 04172024,PARTIAL: ,0.0
7,591469,60,DEN 6GAI 03222025,DTW LLJR 03192023,0
7,591469,60,EST PSHT 01082023,PARTIAL: ,0.0
7,591469,60,MQT MXG7 08112025,TVC YQN5 10132024,0
7,591469,60,HTV SVKD 12122025,BFF JDYU 02142025,0
7,591469,60,MRY GD4D 12282023,MTJ I1U3 05172024,0
7,591469,60,MDO KYXK 07112023,PARTIAL: ,0.0
7,591469,60,MSV PZMA 07172024,NZY 3T8W 05122023,0
7,591469,60,SBS 6UKU 05022023,PTK S3RI 09012024,0
7,591469,60,SCF 1I7M 04032024,MLI SE1C 06202023,0
7,591469,60,ARB S1UZ 09092024,IAG WEO1 06102023,0
7,591469,60,HTS YE6W 09192023,LAR KHF6 01202023,0
7,591469,60,HCC Q84M 09192025,BFF 63HP 08102023,0
7,591469,60,SZP QNQR 10272023,CIC 7LUA 03052024,0
7,591469,60,GSB KXUX 08122023,PARTIAL: ,0.0
7,591469,60,WVL QEPW 10212024,PARTIAL: ,0.0
7,591469,60,AIA NPHY 07252024,PARTIAL: ,0.0
7,591469,60,ABY 1AFI 02042024,RFD TGWE 06152023,0
7,591469,60,DTH EX1Y 02192024,VCV NQ8E 12112025,0
7,591469,60,ATT BOXP 07092024,PARTIAL: ,0.0
7,591469,60,FYM 8OPL 07022025,PARTIAL: ,0.0
7,591469,60,RDU 3S3A 08162025,CLE 250P 03072023,0
7,591469,60,BDL LL0D 04222025,PHL 46A0 09252023,0
7,591469,60,LIT 5ZH4 06062024,OUN JT0H 06182025,0
7,591469,60,BYG 65PZ 04082024,PARTIAL: ,0.0
7,591469,60,BGQ AQ61 12082025,PARTIAL: ,0.0
7,591469,60,GLV Z1BL 08142024,PARTIAL: ,0.0
7,591469,60,KUK CN02 02202023,PARTIAL: ,0.0
7,591469,60,VSF PRSG 04022023,PARTIAL: ,0.0
7,591469,60,AMA FUX0 11182024,CGE FAPU 09092023,0
7,591469,60,BMG FUQ6 07132024,YUM GPGV 11032025,0
7,591469,60,CYM XKXE 04232023,PARTIAL: ,0.0
7,591469,60,ROL JQ3M 06212025,PARTIAL: ,0.0
7,591469,60,COP 18AD 09162024,PARTIAL: ,0.0
7,591469,60,TOC XP3P 10112023,CBE JDT8 07252024,0
7,591469,60,CHP 15OJ 02102025,PARTIAL: ,0.0
7,591469,60,MKG A4H5 12092024,LEB EHZ8 12262024,0
7,591469,60,AKN CUTE 09102023,PARTIAL: ,0.0
7,591469,60,WAY G052 07162024,PARTIAL: ,0.0
7,591469,60,BMC IRIA 04182025,UDD H46S 11182023,0
7,591469,60,PHT KSQI 06092025,PARTIAL: ,0.0
7,591469,60,PWT E50V 02152025,PWT E5MB 08062024,0
7,591469,60,JRF JEN9 09242024,VNY IXA0 01062024,0
7,591469,60,CLI 5LZY 05012023,PARTIAL: ,0.0
7,591469,60,BXK H82M 11282024,FMN 327Z 05162025,0
7,591469,60,MPV GQHN 10222024,PARTIAL: ,0.0
7,591469,60,SBX D9GH 12232024,PARTIAL: ,0.0
7,591469,60,SFM TMTP 10012024,SFM TORL 02142023,0
7,591469,60,SOW 0DPS 01282023,GED EX5H 11192023,0
7,591469,60,PSM DJJ4 07162025,PSM HQXT 10062023,0
7,591469,60,EKA LHSL 08132025,VGT 1NEV 08132023,0
7,591469,60,ELK UVFV 09232025,RTN RW5R 06162024,0
7,591469,60,HLC 35UC 07042023,PARTIAL: ,0.0
7,591469,60,AGN XHZP 01142025,PARTIAL: ,0.0
7,591469,60,OGS VZO4 08042025,PARTIAL: ,0.0
7,591469,60,POC XFXR 01012023,POC XFXR 01012023,1
7,591469,60,AKC 6958 07212023,HAO 15HD 11172025,0
7,591469,60,RMP EJKJ 03072023,PARTIAL: ,0.0
7,591469,60,SLT XPM4 09172024,PARTIAL: ,0.0
7,591469,60,AHF OLAE 03212024,PARTIAL: ,0.0
7,591469,60,SFZ MVXM 01122023,RKD A38R 04192024,0
7,591469,60,CXL 6UNP 12152024,MEI AT62 09182023,0
7,591469,60,KPV T04G 02262025,PARTIAL: ,0.0
7,591469,60,KEH 83HU 01282025,PARTIAL: ,0.0
7,591469,60,FFL KII8 04222025,PARTIAL: ,0.0
7,591469,60,CLT DZSL 09272023,CLT DZSL 07092023,0
